subject,my_mac,their_mac,rssi,local_time
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B1,-97,1683286937
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A5,-99,1683287149
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-87,1683288238
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-89,1683288238
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-96,1683288269
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-89,1683288299
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-91,1683288391
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-95,1683288421
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-97,1683288451
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-87,1683288481
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-96,1683288542
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-98,1683288572
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-95,1683288874
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-95,1683288905
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-97,1683288935
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-85,1683288996
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-91,1683288996
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-93,1683289056
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-95,1683289056
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-77,1683289086
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-94,1683289086
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-82,1683289117
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C8,-95,1683289147
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-80,1683289147
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-89,1683289178
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C8,-97,1683289208
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-87,1683289208
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-97,1683289238
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-92,1683289299
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-90,1683289328
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-94,1683289359
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-93,1683289389
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-95,1683289419
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-96,1683289419
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-95,1683289449
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-98,1683289449
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-98,1683289510
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-92,1683289510
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-95,1683289540
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-98,1683289540
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-95,1683289570
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-94,1683289600
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-93,1683289630
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-95,1683289630
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-93,1683289660
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-83,1683289660
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-89,1683289690
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-89,1683289690
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-78,1683289690
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-99,1683289720
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-65,1683289720
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-93,1683289751
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-71,1683289751
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-90,1683289781
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-81,1683289781
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C8,-96,1683289811
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-73,1683289811
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-83,1683289841
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-89,1683289872
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:E3,-100,1683289902
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:CA,-96,1683289963
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-84,1683289963
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-99,1683289963
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-90,1683289993
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-87,1683290023
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-93,1683290023
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:CA,-95,1683290053
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-88,1683290053
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-96,1683290053
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-85,1683290083
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-92,1683290083
