subject,my_mac,data_type,data_value,local_time
,6C:B2:FD:CE:2D:F5,tsync,0.00,1683286571
,6C:B2:FD:CE:2D:F5,deg_c,21.25,1683286945
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683286945
,6C:B2:FD:CE:2D:F5,xl,0.00,1683286906
,6C:B2:FD:CE:2D:F5,xl,0.00,1683286967
,6C:B2:FD:CE:2D:F5,xl,0.00,1683287027
,6C:B2:FD:CE:2D:F5,xl,0.00,1683287087
,6C:B2:FD:CE:2D:F5,xl,0.00,1683287150
,6C:B2:FD:CE:2D:F5,deg_c,23.75,1683287245
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683287245
,6C:B2:FD:CE:2D:F5,xl,0.00,1683287290
,6C:B2:FD:CE:2D:F5,xl,0.00,1683287413
,6C:B2:FD:CE:2D:F5,xl,0.00,1683287479
,6C:B2:FD:CE:2D:F5,deg_c,24.00,1683287545
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683287545
,6C:B2:FD:CE:2D:F5,xl,0.00,1683287540
,6C:B2:FD:CE:2D:F5,xl,0.00,1683287604
,6C:B2:FD:CE:2D:F5,xl,0.00,1683287720
,6C:B2:FD:CE:2D:F5,deg_c,24.00,1683287845
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683287845
,6C:B2:FD:CE:2D:F5,xl,0.00,1683287786
,6C:B2:FD:CE:2D:F5,xl,0.00,1683287846
,6C:B2:FD:CE:2D:F5,xl,0.00,1683287908
,6C:B2:FD:CE:2D:F5,xl,0.00,1683287970
,6C:B2:FD:CE:2D:F5,xl,0.00,1683288031
,6C:B2:FD:CE:2D:F5,deg_c,25.75,1683288145
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683288145
,6C:B2:FD:CE:2D:F5,xl,0.00,1683288138
,6C:B2:FD:CE:2D:F5,xl,0.00,1683288225
,6C:B2:FD:CE:2D:F5,xl,0.00,1683288310
,6C:B2:FD:CE:2D:F5,xl,0.00,1683288370
,6C:B2:FD:CE:2D:F5,deg_c,25.50,1683288445
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683288445
,6C:B2:FD:CE:2D:F5,xl,0.00,1683288431
,6C:B2:FD:CE:2D:F5,xl,0.00,1683288491
,6C:B2:FD:CE:2D:F5,xl,0.00,1683288551
,6C:B2:FD:CE:2D:F5,xl,0.00,1683288614
,6C:B2:FD:CE:2D:F5,xl,0.00,1683288683
,6C:B2:FD:CE:2D:F5,deg_c,26.25,1683288745
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683288745
,6C:B2:FD:CE:2D:F5,xl,0.00,1683288747
,6C:B2:FD:CE:2D:F5,xl,0.00,1683288840
,6C:B2:FD:CE:2D:F5,xl,0.00,1683288938
,6C:B2:FD:CE:2D:F5,deg_c,27.00,1683289045
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683289045
,6C:B2:FD:CE:2D:F5,xl,0.00,1683289013
,6C:B2:FD:CE:2D:F5,xl,0.00,1683289073
,6C:B2:FD:CE:2D:F5,xl,0.00,1683289133
,6C:B2:FD:CE:2D:F5,xl,0.00,1683289193
,6C:B2:FD:CE:2D:F5,xl,0.00,1683289267
,6C:B2:FD:CE:2D:F5,deg_c,26.50,1683289345
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683289345
,6C:B2:FD:CE:2D:F5,xl,0.00,1683289353
,6C:B2:FD:CE:2D:F5,xl,0.00,1683289421
,6C:B2:FD:CE:2D:F5,xl,0.00,1683289486
,6C:B2:FD:CE:2D:F5,xl,0.00,1683289552
,6C:B2:FD:CE:2D:F5,deg_c,27.75,1683289645
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683289645
,6C:B2:FD:CE:2D:F5,xl,0.00,1683289612
,6C:B2:FD:CE:2D:F5,xl,0.00,1683289672
,6C:B2:FD:CE:2D:F5,xl,0.00,1683289732
,6C:B2:FD:CE:2D:F5,xl,0.00,1683289793
,6C:B2:FD:CE:2D:F5,xl,0.00,1683289853
,6C:B2:FD:CE:2D:F5,deg_c,25.00,1683289945
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683289945
,6C:B2:FD:CE:2D:F5,xl,0.00,1683289913
,6C:B2:FD:CE:2D:F5,xl,0.00,1683289986
,6C:B2:FD:CE:2D:F5,xl,0.00,1683290058
,6C:B2:FD:CE:2D:F5,xl,0.00,1683290118
,6C:B2:FD:CE:2D:F5,deg_c,24.00,1683290245
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683290245
,6C:B2:FD:CE:2D:F5,xl,0.00,1683290188
,6C:B2:FD:CE:2D:F5,xl,0.00,1683290322
,6C:B2:FD:CE:2D:F5,xl,0.00,1683290410
,6C:B2:FD:CE:2D:F5,xl,0.00,1683290473
,6C:B2:FD:CE:2D:F5,deg_c,26.50,1683290545
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683290545
,6C:B2:FD:CE:2D:F5,xl,0.00,1683290540
,6C:B2:FD:CE:2D:F5,xl,0.00,1683290636
,6C:B2:FD:CE:2D:F5,xl,0.00,1683290719
,6C:B2:FD:CE:2D:F5,xl,0.00,1683290779
,6C:B2:FD:CE:2D:F5,deg_c,27.00,1683290845
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683290845
,6C:B2:FD:CE:2D:F5,xl,0.00,1683290840
,6C:B2:FD:CE:2D:F5,xl,0.00,1683290900
,6C:B2:FD:CE:2D:F5,xl,0.00,1683290960
,6C:B2:FD:CE:2D:F5,xl,0.00,1683291021
,6C:B2:FD:CE:2D:F5,xl,0.00,1683291083
,6C:B2:FD:CE:2D:F5,deg_c,26.75,1683291145
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683291145
,6C:B2:FD:CE:2D:F5,xl,0.00,1683291145
,6C:B2:FD:CE:2D:F5,xl,0.00,1683291324
,6C:B2:FD:CE:2D:F5,deg_c,26.75,1683291445
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683291445
,6C:B2:FD:CE:2D:F5,xl,0.00,1683291387
,6C:B2:FD:CE:2D:F5,xl,0.00,1683291477
,6C:B2:FD:CE:2D:F5,xl,0.00,1683291537
,6C:B2:FD:CE:2D:F5,xl,0.00,1683291597
,6C:B2:FD:CE:2D:F5,xl,0.00,1683291658
,6C:B2:FD:CE:2D:F5,deg_c,26.75,1683291745
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683291745
,6C:B2:FD:CE:2D:F5,xl,0.00,1683291718
,6C:B2:FD:CE:2D:F5,xl,0.00,1683291780
,6C:B2:FD:CE:2D:F5,xl,0.00,1683291841
,6C:B2:FD:CE:2D:F5,xl,0.00,1683291901
,6C:B2:FD:CE:2D:F5,xl,0.00,1683291961
,6C:B2:FD:CE:2D:F5,deg_c,27.00,1683292045
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683292045
,6C:B2:FD:CE:2D:F5,xl,0.00,1683292022
,6C:B2:FD:CE:2D:F5,xl,0.00,1683292082
,6C:B2:FD:CE:2D:F5,xl,0.00,1683292142
,6C:B2:FD:CE:2D:F5,xl,0.00,1683292202
,6C:B2:FD:CE:2D:F5,xl,0.00,1683292263
,6C:B2:FD:CE:2D:F5,deg_c,26.75,1683292345
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683292345
,6C:B2:FD:CE:2D:F5,xl,0.00,1683292323
,6C:B2:FD:CE:2D:F5,xl,0.00,1683292383
,6C:B2:FD:CE:2D:F5,xl,0.00,1683292444
,6C:B2:FD:CE:2D:F5,xl,0.00,1683292504
,6C:B2:FD:CE:2D:F5,xl,0.00,1683292565
,6C:B2:FD:CE:2D:F5,deg_c,26.50,1683292645
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683292645
,6C:B2:FD:CE:2D:F5,xl,0.00,1683292625
,6C:B2:FD:CE:2D:F5,xl,0.00,1683292685
,6C:B2:FD:CE:2D:F5,xl,0.00,1683292746
,6C:B2:FD:CE:2D:F5,xl,0.00,1683292806
,6C:B2:FD:CE:2D:F5,xl,0.00,1683292866
,6C:B2:FD:CE:2D:F5,deg_c,24.25,1683292945
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683292945
,6C:B2:FD:CE:2D:F5,xl,0.00,1683292989
,6C:B2:FD:CE:2D:F5,xl,0.00,1683293095
,6C:B2:FD:CE:2D:F5,deg_c,24.00,1683293245
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683293245
,6C:B2:FD:CE:2D:F5,xl,0.00,1683293187
,6C:B2:FD:CE:2D:F5,xl,0.00,1683293448
,6C:B2:FD:CE:2D:F5,deg_c,24.00,1683293545
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683293545
,6C:B2:FD:CE:2D:F5,xl,0.00,1683293508
,6C:B2:FD:CE:2D:F5,xl,0.00,1683293578
,6C:B2:FD:CE:2D:F5,xl,0.00,1683293639
,6C:B2:FD:CE:2D:F5,xl,0.00,1683293716
,6C:B2:FD:CE:2D:F5,xl,0.00,1683293779
,6C:B2:FD:CE:2D:F5,deg_c,24.00,1683293845
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683293845
,6C:B2:FD:CE:2D:F5,xl,0.00,1683293840
,6C:B2:FD:CE:2D:F5,xl,0.00,1683293987
,6C:B2:FD:CE:2D:F5,deg_c,23.00,1683294145
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683294145
,6C:B2:FD:CE:2D:F5,xl,0.00,1683294115
,6C:B2:FD:CE:2D:F5,xl,0.00,1683294224
,6C:B2:FD:CE:2D:F5,xl,0.00,1683294356
,6C:B2:FD:CE:2D:F5,deg_c,23.00,1683294445
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683294445
,6C:B2:FD:CE:2D:F5,xl,0.00,1683294566
,6C:B2:FD:CE:2D:F5,xl,0.00,1683294683
,6C:B2:FD:CE:2D:F5,deg_c,23.25,1683294745
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683294745
,6C:B2:FD:CE:2D:F5,xl,0.00,1683294744
,6C:B2:FD:CE:2D:F5,xl,0.00,1683294805
,6C:B2:FD:CE:2D:F5,xl,0.00,1683294865
,6C:B2:FD:CE:2D:F5,xl,0.00,1683294926
,6C:B2:FD:CE:2D:F5,deg_c,24.75,1683295045
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683295045
,6C:B2:FD:CE:2D:F5,xl,0.00,1683294986
,6C:B2:FD:CE:2D:F5,xl,0.00,1683295046
,6C:B2:FD:CE:2D:F5,xl,0.00,1683295107
,6C:B2:FD:CE:2D:F5,xl,0.00,1683295167
,6C:B2:FD:CE:2D:F5,xl,0.00,1683295228
,6C:B2:FD:CE:2D:F5,deg_c,26.75,1683295345
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683295345
,6C:B2:FD:CE:2D:F5,xl,0.00,1683295288
,6C:B2:FD:CE:2D:F5,xl,0.00,1683295353
,6C:B2:FD:CE:2D:F5,xl,0.00,1683295413
,6C:B2:FD:CE:2D:F5,xl,0.00,1683295473
,6C:B2:FD:CE:2D:F5,xl,0.00,1683295534
,6C:B2:FD:CE:2D:F5,deg_c,28.00,1683295645
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683295645
,6C:B2:FD:CE:2D:F5,xl,0.00,1683295640
,6C:B2:FD:CE:2D:F5,deg_c,28.75,1683295945
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683295945
,6C:B2:FD:CE:2D:F5,xl,0.00,1683295918
,6C:B2:FD:CE:2D:F5,xl,0.00,1683295978
,6C:B2:FD:CE:2D:F5,xl,0.00,1683296039
,6C:B2:FD:CE:2D:F5,xl,0.00,1683296100
,6C:B2:FD:CE:2D:F5,xl,0.00,1683296160
,6C:B2:FD:CE:2D:F5,deg_c,28.00,1683296245
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683296245
,6C:B2:FD:CE:2D:F5,xl,0.00,1683296220
,6C:B2:FD:CE:2D:F5,xl,0.00,1683296299
,6C:B2:FD:CE:2D:F5,xl,0.00,1683296362
,6C:B2:FD:CE:2D:F5,xl,0.00,1683296424
,6C:B2:FD:CE:2D:F5,xl,0.00,1683296485
,6C:B2:FD:CE:2D:F5,deg_c,28.00,1683296545
,6C:B2:FD:CE:2D:F5,vbatt,3.76,1683296545
,6C:B2:FD:CE:2D:F5,xl,0.00,1683296559
,6C:B2:FD:CE:2D:F5,xl,0.00,1683296620
,6C:B2:FD:CE:2D:F5,xl,0.00,1683296700
,6C:B2:FD:CE:2D:F5,xl,0.00,1683296761
,6C:B2:FD:CE:2D:F5,deg_c,29.25,1683296845
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683296845
,6C:B2:FD:CE:2D:F5,xl,0.00,1683296842
,6C:B2:FD:CE:2D:F5,xl,0.00,1683296912
,6C:B2:FD:CE:2D:F5,xl,0.00,1683296976
,6C:B2:FD:CE:2D:F5,deg_c,31.00,1683297145
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683297145
,6C:B2:FD:CE:2D:F5,xl,0.00,1683297168
,6C:B2:FD:CE:2D:F5,xl,0.00,1683297368
,6C:B2:FD:CE:2D:F5,deg_c,32.25,1683297445
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683297445
,6C:B2:FD:CE:2D:F5,xl,0.00,1683297437
,6C:B2:FD:CE:2D:F5,xl,0.00,1683297504
,6C:B2:FD:CE:2D:F5,xl,0.00,1683297574
,6C:B2:FD:CE:2D:F5,xl,0.00,1683297636
,6C:B2:FD:CE:2D:F5,deg_c,33.50,1683297745
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683297745
,6C:B2:FD:CE:2D:F5,xl,0.00,1683297697
,6C:B2:FD:CE:2D:F5,xl,0.00,1683297757
,6C:B2:FD:CE:2D:F5,xl,0.00,1683297851
,6C:B2:FD:CE:2D:F5,xl,0.00,1683297954
,6C:B2:FD:CE:2D:F5,deg_c,30.50,1683298045
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683298045
,6C:B2:FD:CE:2D:F5,xl,0.00,1683298016
,6C:B2:FD:CE:2D:F5,xl,0.00,1683298078
,6C:B2:FD:CE:2D:F5,xl,0.00,1683298142
,6C:B2:FD:CE:2D:F5,xl,0.00,1683298280
,6C:B2:FD:CE:2D:F5,deg_c,30.75,1683298345
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683298345
,6C:B2:FD:CE:2D:F5,xl,0.00,1683298342
,6C:B2:FD:CE:2D:F5,xl,0.00,1683298513
,6C:B2:FD:CE:2D:F5,xl,0.00,1683298573
,6C:B2:FD:CE:2D:F5,deg_c,31.00,1683298645
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683298645
,6C:B2:FD:CE:2D:F5,xl,0.00,1683298635
,6C:B2:FD:CE:2D:F5,xl,0.00,1683298696
,6C:B2:FD:CE:2D:F5,xl,0.00,1683298756
,6C:B2:FD:CE:2D:F5,xl,0.00,1683298817
,6C:B2:FD:CE:2D:F5,xl,0.00,1683298877
,6C:B2:FD:CE:2D:F5,deg_c,31.00,1683298945
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683298945
,6C:B2:FD:CE:2D:F5,xl,0.00,1683298937
,6C:B2:FD:CE:2D:F5,xl,0.00,1683298998
,6C:B2:FD:CE:2D:F5,xl,0.00,1683299058
,6C:B2:FD:CE:2D:F5,xl,0.00,1683299118
,6C:B2:FD:CE:2D:F5,xl,0.00,1683299179
,6C:B2:FD:CE:2D:F5,deg_c,32.00,1683299245
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683299245
,6C:B2:FD:CE:2D:F5,xl,0.00,1683299240
,6C:B2:FD:CE:2D:F5,xl,0.00,1683299403
,6C:B2:FD:CE:2D:F5,deg_c,28.00,1683299545
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683299545
,6C:B2:FD:CE:2D:F5,xl,0.00,1683299502
,6C:B2:FD:CE:2D:F5,xl,0.00,1683299572
,6C:B2:FD:CE:2D:F5,xl,0.00,1683299633
,6C:B2:FD:CE:2D:F5,xl,0.00,1683299698
,6C:B2:FD:CE:2D:F5,xl,0.00,1683299759
,6C:B2:FD:CE:2D:F5,deg_c,27.00,1683299845
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683299845
,6C:B2:FD:CE:2D:F5,xl,0.00,1683299819
,6C:B2:FD:CE:2D:F5,xl,0.00,1683299880
,6C:B2:FD:CE:2D:F5,xl,0.00,1683299950
,6C:B2:FD:CE:2D:F5,xl,0.00,1683300071
,6C:B2:FD:CE:2D:F5,deg_c,28.25,1683300145
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683300145
,6C:B2:FD:CE:2D:F5,xl,0.00,1683300148
,6C:B2:FD:CE:2D:F5,xl,0.00,1683300215
,6C:B2:FD:CE:2D:F5,xl,0.00,1683300342
,6C:B2:FD:CE:2D:F5,deg_c,30.00,1683300445
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683300445
,6C:B2:FD:CE:2D:F5,xl,0.00,1683300404
,6C:B2:FD:CE:2D:F5,xl,0.00,1683300487
,6C:B2:FD:CE:2D:F5,xl,0.00,1683300548
,6C:B2:FD:CE:2D:F5,xl,0.00,1683300609
,6C:B2:FD:CE:2D:F5,xl,0.00,1683300669
,6C:B2:FD:CE:2D:F5,deg_c,31.75,1683300745
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683300745
,6C:B2:FD:CE:2D:F5,xl,0.00,1683300730
,6C:B2:FD:CE:2D:F5,xl,0.00,1683300790
,6C:B2:FD:CE:2D:F5,xl,0.00,1683300951
,6C:B2:FD:CE:2D:F5,deg_c,32.00,1683301045
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683301045
,6C:B2:FD:CE:2D:F5,xl,0.00,1683301014
,6C:B2:FD:CE:2D:F5,xl,0.00,1683301134
,6C:B2:FD:CE:2D:F5,xl,0.00,1683301207
,6C:B2:FD:CE:2D:F5,deg_c,28.50,1683301345
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683301345
,6C:B2:FD:CE:2D:F5,xl,0.00,1683301296
,6C:B2:FD:CE:2D:F5,xl,0.00,1683301371
,6C:B2:FD:CE:2D:F5,xl,0.00,1683301445
,6C:B2:FD:CE:2D:F5,xl,0.00,1683301514
,6C:B2:FD:CE:2D:F5,deg_c,24.25,1683301645
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683301645
,6C:B2:FD:CE:2D:F5,xl,0.00,1683301680
,6C:B2:FD:CE:2D:F5,xl,0.00,1683301840
,6C:B2:FD:CE:2D:F5,deg_c,24.00,1683301945
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683301945
,6C:B2:FD:CE:2D:F5,xl,0.00,1683301927
,6C:B2:FD:CE:2D:F5,xl,0.00,1683302004
,6C:B2:FD:CE:2D:F5,xl,0.00,1683302064
,6C:B2:FD:CE:2D:F5,xl,0.00,1683302124
,6C:B2:FD:CE:2D:F5,deg_c,26.00,1683302245
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683302245
,6C:B2:FD:CE:2D:F5,xl,0.00,1683302186
,6C:B2:FD:CE:2D:F5,xl,0.00,1683302256
,6C:B2:FD:CE:2D:F5,xl,0.00,1683302325
,6C:B2:FD:CE:2D:F5,xl,0.00,1683302390
,6C:B2:FD:CE:2D:F5,xl,0.00,1683302468
,6C:B2:FD:CE:2D:F5,deg_c,28.25,1683302545
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683302545
,6C:B2:FD:CE:2D:F5,xl,0.00,1683302528
,6C:B2:FD:CE:2D:F5,xl,0.00,1683302589
,6C:B2:FD:CE:2D:F5,xl,0.00,1683302650
,6C:B2:FD:CE:2D:F5,xl,0.00,1683302712
,6C:B2:FD:CE:2D:F5,xl,0.00,1683302772
,6C:B2:FD:CE:2D:F5,deg_c,27.50,1683302845
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683302845
,6C:B2:FD:CE:2D:F5,xl,0.00,1683302833
,6C:B2:FD:CE:2D:F5,xl,0.00,1683302893
,6C:B2:FD:CE:2D:F5,xl,0.00,1683302953
,6C:B2:FD:CE:2D:F5,xl,0.00,1683303013
,6C:B2:FD:CE:2D:F5,xl,0.00,1683303074
,6C:B2:FD:CE:2D:F5,deg_c,29.25,1683303145
,6C:B2:FD:CE:2D:F5,vbatt,3.75,1683303145
,6C:B2:FD:CE:2D:F5,xl,0.00,1683303134
,6C:B2:FD:CE:2D:F5,xl,0.00,1683303195
,6C:B2:FD:CE:2D:F5,xl,0.00,1683303257
,6C:B2:FD:CE:2D:F5,xl,0.00,1683303319
,6C:B2:FD:CE:2D:F5,deg_c,31.00,1683303445
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683303445
,6C:B2:FD:CE:2D:F5,xl,0.00,1683303427
,6C:B2:FD:CE:2D:F5,xl,0.00,1683303496
,6C:B2:FD:CE:2D:F5,xl,0.00,1683303669
,6C:B2:FD:CE:2D:F5,deg_c,32.50,1683303745
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683303745
,6C:B2:FD:CE:2D:F5,xl,0.00,1683303738
,6C:B2:FD:CE:2D:F5,xl,0.00,1683303934
,6C:B2:FD:CE:2D:F5,deg_c,34.00,1683304045
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683304045
,6C:B2:FD:CE:2D:F5,xl,0.00,1683304101
,6C:B2:FD:CE:2D:F5,xl,0.00,1683304217
,6C:B2:FD:CE:2D:F5,deg_c,33.75,1683304345
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683304345
,6C:B2:FD:CE:2D:F5,xl,0.00,1683304491
,6C:B2:FD:CE:2D:F5,xl,0.00,1683304573
,6C:B2:FD:CE:2D:F5,deg_c,32.00,1683304645
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683304645
,6C:B2:FD:CE:2D:F5,xl,0.00,1683304640
,6C:B2:FD:CE:2D:F5,xl,0.00,1683304703
,6C:B2:FD:CE:2D:F5,xl,0.00,1683304767
,6C:B2:FD:CE:2D:F5,xl,0.00,1683304827
,6C:B2:FD:CE:2D:F5,deg_c,31.00,1683304945
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683304945
,6C:B2:FD:CE:2D:F5,xl,0.00,1683304891
,6C:B2:FD:CE:2D:F5,xl,0.00,1683304951
,6C:B2:FD:CE:2D:F5,xl,0.00,1683305012
,6C:B2:FD:CE:2D:F5,xl,0.00,1683305074
,6C:B2:FD:CE:2D:F5,xl,0.00,1683305134
,6C:B2:FD:CE:2D:F5,deg_c,31.00,1683305245
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683305245
,6C:B2:FD:CE:2D:F5,xl,0.00,1683305194
,6C:B2:FD:CE:2D:F5,xl,0.00,1683305255
,6C:B2:FD:CE:2D:F5,xl,0.00,1683305316
,6C:B2:FD:CE:2D:F5,xl,0.00,1683305377
,6C:B2:FD:CE:2D:F5,xl,0.00,1683305438
,6C:B2:FD:CE:2D:F5,deg_c,31.25,1683305545
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683305545
,6C:B2:FD:CE:2D:F5,xl,0.00,1683305509
,6C:B2:FD:CE:2D:F5,xl,0.00,1683305583
,6C:B2:FD:CE:2D:F5,xl,0.00,1683305684
,6C:B2:FD:CE:2D:F5,deg_c,30.50,1683305845
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683305845
,6C:B2:FD:CE:2D:F5,xl,0.00,1683305809
,6C:B2:FD:CE:2D:F5,xl,0.00,1683305872
,6C:B2:FD:CE:2D:F5,xl,0.00,1683305965
,6C:B2:FD:CE:2D:F5,xl,0.00,1683306049
,6C:B2:FD:CE:2D:F5,deg_c,30.75,1683306145
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683306145
,6C:B2:FD:CE:2D:F5,xl,0.00,1683306123
,6C:B2:FD:CE:2D:F5,xl,0.00,1683306216
,6C:B2:FD:CE:2D:F5,xl,0.00,1683306277
,6C:B2:FD:CE:2D:F5,xl,0.00,1683306337
,6C:B2:FD:CE:2D:F5,deg_c,31.50,1683306445
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683306445
,6C:B2:FD:CE:2D:F5,xl,0.00,1683306398
,6C:B2:FD:CE:2D:F5,xl,0.00,1683306459
,6C:B2:FD:CE:2D:F5,xl,0.00,1683306521
,6C:B2:FD:CE:2D:F5,xl,0.00,1683306583
,6C:B2:FD:CE:2D:F5,xl,0.00,1683306653
,6C:B2:FD:CE:2D:F5,deg_c,31.25,1683306745
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683306745
,6C:B2:FD:CE:2D:F5,xl,0.00,1683306713
,6C:B2:FD:CE:2D:F5,xl,0.00,1683306776
,6C:B2:FD:CE:2D:F5,xl,0.00,1683306837
,6C:B2:FD:CE:2D:F5,xl,0.00,1683306904
,6C:B2:FD:CE:2D:F5,xl,0.00,1683306968
,6C:B2:FD:CE:2D:F5,deg_c,31.25,1683307045
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683307045
,6C:B2:FD:CE:2D:F5,xl,0.00,1683307029
,6C:B2:FD:CE:2D:F5,xl,0.00,1683307093
,6C:B2:FD:CE:2D:F5,xl,0.00,1683307205
,6C:B2:FD:CE:2D:F5,xl,0.00,1683307270
,6C:B2:FD:CE:2D:F5,deg_c,31.00,1683307345
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683307345
,6C:B2:FD:CE:2D:F5,xl,0.00,1683307332
,6C:B2:FD:CE:2D:F5,xl,0.00,1683307393
,6C:B2:FD:CE:2D:F5,xl,0.00,1683307454
,6C:B2:FD:CE:2D:F5,xl,0.00,1683307514
,6C:B2:FD:CE:2D:F5,xl,0.00,1683307575
,6C:B2:FD:CE:2D:F5,deg_c,31.50,1683307645
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683307645
,6C:B2:FD:CE:2D:F5,xl,0.00,1683307769
,6C:B2:FD:CE:2D:F5,deg_c,32.00,1683307945
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683307945
,6C:B2:FD:CE:2D:F5,xl,0.00,1683307931
,6C:B2:FD:CE:2D:F5,xl,0.00,1683308015
,6C:B2:FD:CE:2D:F5,xl,0.00,1683308080
,6C:B2:FD:CE:2D:F5,xl,0.00,1683308146
,6C:B2:FD:CE:2D:F5,deg_c,31.25,1683308245
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683308245
,6C:B2:FD:CE:2D:F5,xl,0.00,1683308208
,6C:B2:FD:CE:2D:F5,xl,0.00,1683308288
,6C:B2:FD:CE:2D:F5,xl,0.00,1683308374
,6C:B2:FD:CE:2D:F5,xl,0.00,1683308468
,6C:B2:FD:CE:2D:F5,deg_c,31.25,1683308545
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683308545
,6C:B2:FD:CE:2D:F5,xl,0.00,1683308538
,6C:B2:FD:CE:2D:F5,xl,0.00,1683308599
,6C:B2:FD:CE:2D:F5,xl,0.00,1683308660
,6C:B2:FD:CE:2D:F5,xl,0.00,1683308721
,6C:B2:FD:CE:2D:F5,xl,0.00,1683308781
,6C:B2:FD:CE:2D:F5,deg_c,31.00,1683308845
,6C:B2:FD:CE:2D:F5,vbatt,3.74,1683308845
,6C:B2:FD:CE:2D:F5,xl,0.00,1683308875
,6C:B2:FD:CE:2D:F5,xl,0.00,1683308942
,6C:B2:FD:CE:2D:F5,xl,0.00,1683309002
,6C:B2:FD:CE:2D:F5,xl,0.00,1683309065
