subject,my_mac,their_mac,rssi,local_time
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:31:6,-95,1683302242
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:31:6,-90,1683302272
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:E0,-91,1683302272
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:31:6,-98,1683302302
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:E0,-89,1683302302
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:31:6,-89,1683302332
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:D9,-96,1683302635
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:A8,-95,1683302757
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:A8,-98,1683302817
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:A8,-97,1683303090
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-91,1683303392
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:31:18,-97,1683303423
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-84,1683303453
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-80,1683303484
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AD,-99,1683303484
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-89,1683303484
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-96,1683303514
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:B5,-96,1683303514
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AD,-90,1683303544
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-94,1683303574
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:B5,-96,1683303574
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-87,1683303695
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-95,1683303695
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-82,1683303695
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-87,1683303726
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-87,1683303726
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:B5,-97,1683303726
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-93,1683303756
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-94,1683303786
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-96,1683303817
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-95,1683303847
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-97,1683303847
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-95,1683303877
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-95,1683303907
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-91,1683303907
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-89,1683303937
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-82,1683303998
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-95,1683304028
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-87,1683304028
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-90,1683304059
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-96,1683304059
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-91,1683304089
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-96,1683304119
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-95,1683304119
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-87,1683304149
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-92,1683304149
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-93,1683304271
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-90,1683304301
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-92,1683304301
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-95,1683304332
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-91,1683304362
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-98,1683304392
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-93,1683304392
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-87,1683304452
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-92,1683304483
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-97,1683304603
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-93,1683304664
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-89,1683304664
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-93,1683304694
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-90,1683304694
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-89,1683304724
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-89,1683304724
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-91,1683304724
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-95,1683304724
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-85,1683304754
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-92,1683304905
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-91,1683304935
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-93,1683305057
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-89,1683305057
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-96,1683305087
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-87,1683305087
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-89,1683305117
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-93,1683305148
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-94,1683305178
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-96,1683305208
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-93,1683305419
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-96,1683305449
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-93,1683305480
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-89,1683305480
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-97,1683305510
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-88,1683305510
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-95,1683305540
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-89,1683305540
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-95,1683305570
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-89,1683305570
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-93,1683305570
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-93,1683305600
