subject,my_mac,data_type,data_value,local_time
,6C:B2:FD:CE:31:0C,tsync,0.00,1683302059
,6C:B2:FD:CE:31:0C,xl,0.00,1683302059
,6C:B2:FD:CE:31:0C,xl,0.00,1683302120
,6C:B2:FD:CE:31:0C,xl,0.00,1683302190
,6C:B2:FD:CE:31:0C,deg_c,23.75,1683302262
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683302262
,6C:B2:FD:CE:31:0C,xl,0.00,1683302310
,6C:B2:FD:CE:31:0C,xl,0.00,1683302381
,6C:B2:FD:CE:31:0C,xl,0.00,1683302442
,6C:B2:FD:CE:31:0C,deg_c,24.00,1683302562
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683302562
,6C:B2:FD:CE:31:0C,xl,0.00,1683302558
,6C:B2:FD:CE:31:0C,xl,0.00,1683302624
,6C:B2:FD:CE:31:0C,xl,0.00,1683302686
,6C:B2:FD:CE:31:0C,xl,0.00,1683302791
,6C:B2:FD:CE:31:0C,deg_c,26.75,1683302862
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683302862
,6C:B2:FD:CE:31:0C,xl,0.00,1683302852
,6C:B2:FD:CE:31:0C,xl,0.00,1683302913
,6C:B2:FD:CE:31:0C,xl,0.00,1683302973
,6C:B2:FD:CE:31:0C,xl,0.00,1683303034
,6C:B2:FD:CE:31:0C,xl,0.00,1683303095
,6C:B2:FD:CE:31:0C,deg_c,30.00,1683303162
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683303162
,6C:B2:FD:CE:31:0C,xl,0.00,1683303155
,6C:B2:FD:CE:31:0C,xl,0.00,1683303218
,6C:B2:FD:CE:31:0C,xl,0.00,1683303279
,6C:B2:FD:CE:31:0C,xl,0.00,1683303354
,6C:B2:FD:CE:31:0C,deg_c,34.75,1683303462
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683303462
,6C:B2:FD:CE:31:0C,xl,0.00,1683303422
,6C:B2:FD:CE:31:0C,xl,0.00,1683303485
,6C:B2:FD:CE:31:0C,xl,0.00,1683303546
,6C:B2:FD:CE:31:0C,xl,0.00,1683303618
,6C:B2:FD:CE:31:0C,xl,0.00,1683303678
,6C:B2:FD:CE:31:0C,deg_c,33.75,1683303762
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683303762
,6C:B2:FD:CE:31:0C,xl,0.00,1683303741
,6C:B2:FD:CE:31:0C,xl,0.00,1683303803
,6C:B2:FD:CE:31:0C,xl,0.00,1683303863
,6C:B2:FD:CE:31:0C,xl,0.00,1683303923
,6C:B2:FD:CE:31:0C,xl,0.00,1683303996
,6C:B2:FD:CE:31:0C,deg_c,32.00,1683304062
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683304062
,6C:B2:FD:CE:31:0C,xl,0.00,1683304057
,6C:B2:FD:CE:31:0C,xl,0.00,1683304117
,6C:B2:FD:CE:31:0C,xl,0.00,1683304180
,6C:B2:FD:CE:31:0C,xl,0.00,1683304240
,6C:B2:FD:CE:31:0C,deg_c,32.00,1683304362
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683304362
,6C:B2:FD:CE:31:0C,xl,0.00,1683304302
,6C:B2:FD:CE:31:0C,xl,0.00,1683304366
,6C:B2:FD:CE:31:0C,xl,0.00,1683304443
,6C:B2:FD:CE:31:0C,xl,0.00,1683304505
,6C:B2:FD:CE:31:0C,xl,0.00,1683304590
,6C:B2:FD:CE:31:0C,deg_c,31.75,1683304662
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683304662
,6C:B2:FD:CE:31:0C,xl,0.00,1683304656
,6C:B2:FD:CE:31:0C,xl,0.00,1683304720
,6C:B2:FD:CE:31:0C,xl,0.00,1683304781
,6C:B2:FD:CE:31:0C,xl,0.00,1683304841
,6C:B2:FD:CE:31:0C,xl,0.00,1683304902
,6C:B2:FD:CE:31:0C,deg_c,32.00,1683304962
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683304962
,6C:B2:FD:CE:31:0C,xl,0.00,1683304981
,6C:B2:FD:CE:31:0C,xl,0.00,1683305042
,6C:B2:FD:CE:31:0C,xl,0.00,1683305108
,6C:B2:FD:CE:31:0C,xl,0.00,1683305176
,6C:B2:FD:CE:31:0C,deg_c,32.00,1683305262
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683305262
,6C:B2:FD:CE:31:0C,xl,0.00,1683305238
,6C:B2:FD:CE:31:0C,xl,0.00,1683305304
,6C:B2:FD:CE:31:0C,xl,0.00,1683305365
,6C:B2:FD:CE:31:0C,xl,0.00,1683305429
,6C:B2:FD:CE:31:0C,xl,0.00,1683305490
,6C:B2:FD:CE:31:0C,deg_c,32.75,1683305562
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683305562
,6C:B2:FD:CE:31:0C,xl,0.00,1683305551
,6C:B2:FD:CE:31:0C,xl,0.00,1683305613
,6C:B2:FD:CE:31:0C,xl,0.00,1683305673
,6C:B2:FD:CE:31:0C,xl,0.00,1683305734
,6C:B2:FD:CE:31:0C,xl,0.00,1683305798
,6C:B2:FD:CE:31:0C,deg_c,32.50,1683305862
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683305862
,6C:B2:FD:CE:31:0C,xl,0.00,1683305858
,6C:B2:FD:CE:31:0C,xl,0.00,1683305921
,6C:B2:FD:CE:31:0C,xl,0.00,1683305988
,6C:B2:FD:CE:31:0C,xl,0.00,1683306049
,6C:B2:FD:CE:31:0C,deg_c,32.25,1683306162
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683306162
,6C:B2:FD:CE:31:0C,xl,0.00,1683306119
,6C:B2:FD:CE:31:0C,xl,0.00,1683306182
,6C:B2:FD:CE:31:0C,xl,0.00,1683306243
,6C:B2:FD:CE:31:0C,xl,0.00,1683306303
,6C:B2:FD:CE:31:0C,xl,0.00,1683306363
,6C:B2:FD:CE:31:0C,deg_c,32.75,1683306462
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683306462
,6C:B2:FD:CE:31:0C,xl,0.00,1683306426
,6C:B2:FD:CE:31:0C,xl,0.00,1683306492
,6C:B2:FD:CE:31:0C,xl,0.00,1683306558
,6C:B2:FD:CE:31:0C,xl,0.00,1683306619
,6C:B2:FD:CE:31:0C,xl,0.00,1683306681
